threads,run,integral,time_seconds,timestamp
1719,4,5.500539,0.173359,2025-05-14T03:52:12.653330
1719,5,5.500539,0.161025,2025-05-14T03:52:12.815514
1896,1,5.500539,0.295506,2025-05-14T03:52:13.112372
1896,2,5.500539,0.286184,2025-05-14T03:52:13.400185
1896,3,5.500539,0.321472,2025-05-14T03:52:13.722766
1896,4,5.500539,0.303221,2025-05-14T03:52:14.027235
1896,5,5.500539,0.290948,2025-05-14T03:52:14.319559
2091,1,5.500539,0.197618,2025-05-14T03:52:14.518698
2091,2,5.500539,0.226704,2025-05-14T03:52:14.746782
2091,3,5.500539,0.206055,2025-05-14T03:52:14.954387
2091,4,5.500539,0.213746,2025-05-14T03:52:15.169480
2091,5,5.500539,0.221542,2025-05-14T03:52:15.392525
2306,1,5.500539,0.215117,2025-05-14T03:52:15.608910
2306,2,5.500539,0.20473,2025-05-14T03:52:15.814989
2306,3,5.500539,0.24067,2025-05-14T03:52:16.056808
2306,4,5.500539,0.232714,2025-05-14T03:52:16.290788
2306,5,5.500539,0.212914,2025-05-14T03:52:16.504971
2544,1,5.500539,0.22276,2025-05-14T03:52:16.728948
2544,2,5.500539,0.223943,2025-05-14T03:52:16.953983
2544,3,5.500539,0.251918,2025-05-14T03:52:17.207119
2544,4,5.500539,0.417121,2025-05-14T03:52:17.625643
2544,5,5.500539,0.255369,2025-05-14T03:52:17.882241
2806,1,5.500539,0.189779,2025-05-14T03:52:18.073447
2806,2,5.500539,0.207902,2025-05-14T03:52:18.282688
2806,3,5.500539,0.188797,2025-05-14T03:52:18.474217
2806,4,5.500539,0.18549,2025-05-14T03:52:18.660976
2806,5,5.500539,0.186322,2025-05-14T03:52:18.848516
3095,1,5.500539,0.124257,2025-05-14T03:52:18.975161
3095,2,5.500539,0.149892,2025-05-14T03:52:19.126474
3095,3,5.500539,0.147852,2025-05-14T03:52:19.275540
3095,4,5.500539,0.140021,2025-05-14T03:52:19.416784
3095,5,5.500539,0.190772,2025-05-14T03:52:19.608981
3414,1,5.500539,0.270903,2025-05-14T03:52:19.880968
3414,2,5.500539,0.277515,2025-05-14T03:52:20.159760
3414,3,5.500539,0.295408,2025-05-14T03:52:20.456493
3414,4,5.500539,0.321211,2025-05-14T03:52:20.778929
3414,5,5.500539,0.325297,2025-05-14T03:52:21.105522
3765,1,5.500539,0.257648,2025-05-14T03:52:21.364444
3765,2,5.500539,0.296752,2025-05-14T03:52:21.662569
3765,3,5.500539,0.522274,2025-05-14T03:52:22.186722
3765,4,5.500539,0.367783,2025-05-14T03:52:22.555852
3765,5,5.500539,0.29766,2025-05-14T03:52:22.854851
4153,1,5.500539,0.223991,2025-05-14T03:52:23.080415
4153,2,5.500539,0.258089,2025-05-14T03:52:23.339870
4153,3,5.500539,0.477518,2025-05-14T03:52:23.818792
4153,4,5.500539,0.279531,2025-05-14T03:52:24.099669
4153,5,5.500539,0.291241,2025-05-14T03:52:24.392399
4581,1,5.500539,0.136725,2025-05-14T03:52:24.530464
4581,2,5.500539,0.161427,2025-05-14T03:52:24.694052
4581,3,5.500539,0.131326,2025-05-14T03:52:24.826734
4581,4,5.500539,0.151921,2025-05-14T03:52:24.981504
4581,5,5.500539,0.13443,2025-05-14T03:52:25.117164
5053,1,5.500539,1.461239,2025-05-14T03:52:26.579941
5053,2,5.500539,0.932661,2025-05-14T03:52:27.514223
5053,3,5.500539,1.168281,2025-05-14T03:52:28.684152
5053,4,5.500539,1.503583,2025-05-14T03:52:30.189296
5053,5,5.500539,0.991494,2025-05-14T03:52:31.182436
5573,1,5.500539,0.246653,2025-05-14T03:52:31.430827
5573,2,5.500539,0.2601,2025-05-14T03:52:31.692341
5573,3,5.500539,0.217842,2025-05-14T03:52:31.911541
5573,4,5.500539,0.319333,2025-05-14T03:52:32.232726
5573,5,5.500539,0.605211,2025-05-14T03:52:32.840600
6147,1,5.500539,0.268259,2025-05-14T03:52:33.110424
6147,2,5.500539,2.024222,2025-05-14T03:52:35.136154
6147,3,5.500539,0.352892,2025-05-14T03:52:35.490898
6147,4,5.500539,0.292721,2025-05-14T03:52:35.785036
6147,5,5.500539,0.342268,2025-05-14T03:52:36.128849
6780,1,5.500539,0.732735,2025-05-14T03:52:36.863215
6780,2,5.500539,0.447947,2025-05-14T03:52:37.312640
6780,3,5.500539,0.392764,2025-05-14T03:52:37.706899
6780,4,5.500539,0.437608,2025-05-14T03:52:38.145789
6780,5,5.500539,0.547144,2025-05-14T03:52:38.694344
7479,1,5.500539,0.344972,2025-05-14T03:52:39.040697
